search URL:,https://patents.google.com/?q=%28Visa%29&assignee=Visa+U.S.A.+Inc.
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8615457-B2,Payment entity device reconciliation for multiple payment methods ,Visa U.S.A. Inc.,"Matthew James Mullen, John Nicholas Marchetti",2007-10-30,2012-10-16,2013-12-24,2013-12-24,https://patents.google.com/patent/US8615457B2/en,https://patentimages.storage.googleapis.com/f6/d7/1e/8a2fe6c22b8b6f/US08615457-20131224-D00000.png
US-2019251590-A1,Incentives Associated with Linked Financial Accounts ,Visa U.S.A. Inc.,Shaun Bodington,2009-01-15,2019-04-26,2019-08-15,,https://patents.google.com/patent/US20190251590A1/en,https://patentimages.storage.googleapis.com/d3/15/27/a87549a5d92dd9/US20190251590A1-20190815-D00000.png
US-10325268-B2,"Product recall platform apparatuses, methods and systems ",Visa International Service Association,"Edward W. Fordyce, III, Nurtekin Savas",2009-04-30,2017-12-12,2019-06-18,2019-06-18,https://patents.google.com/patent/US10325268B2/en,https://patentimages.storage.googleapis.com/e5/95/6e/98af78c10dbaf0/US10325268-20190618-D00000.png
US-2019333089-A1,Payment Account Processing Which Conveys Financial Transaction Data and Non-Financial Transaction Data ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Barbara Elizabeth Patterson",2007-04-30,2019-07-11,2019-10-31,,https://patents.google.com/patent/US20190333089A1/en,https://patentimages.storage.googleapis.com/a1/e2/8e/04b82f57f9dc35/US20190333089A1-20191031-D00000.png
US-10460338-B2,Network centric loyalty system ,Visa U.S.A. Inc.,"Liane Redford, Bryan Shimko, Loc Nguyen, Ayman Hammad",2002-09-13,2013-12-02,2019-10-29,2019-10-29,https://patents.google.com/patent/US10460338B2/en,https://patentimages.storage.googleapis.com/9c/51/f6/a7d922e8a66eea/US10460338-20191029-D00000.png
US-12002037-B2,Consumer authentication system and method ,Visa U.S.A. Inc.,"Ayman Hammad, Patrick Faith, Mark Carlson",2006-06-19,2022-09-13,2024-06-04,2024-06-04,https://patents.google.com/patent/US12002037B2/en,https://patentimages.storage.googleapis.com/a2/87/6d/bcd7fd4adad8cc/US12002037-20240604-D00000.png
US-9141967-B2,Method and system for managing reward reversal after posting ,Visa U.S.A. Inc.,"Corinne Bortolin, Ayman Hammad",2003-09-30,2013-03-01,2015-09-22,2015-09-22,https://patents.google.com/patent/US9141967B2/en,https://patentimages.storage.googleapis.com/fc/90/14/43da12dc21bbcc/US09141967-20150922-D00000.png
US-10860997-B2,Method and system for providing multiple services via a point-of-sale portal architecture ,Visa U.S.A. Inc.,"Eric Redmond, Jean Huang, Pete Heisinger",2002-01-30,2016-01-11,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860997B2/en,https://patentimages.storage.googleapis.com/e8/37/b4/f562dafa483c58/US10860997-20201208-D00000.png
US-9947020-B2,Systems and methods to provide intelligent analytics to cardholders and merchants ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Michelle Eng Winters, Leigh Amaro",2009-10-19,2014-05-01,2018-04-17,2018-04-17,https://patents.google.com/patent/US9947020B2/en,https://patentimages.storage.googleapis.com/4b/7d/89/05b160262158f2/US09947020-20180417-D00000.png
US-10163100-B2,Location based authentication ,Visa International Service Association,"Ayman Hammad, Patrick Faith",2007-10-25,2017-06-23,2018-12-25,2018-12-25,https://patents.google.com/patent/US10163100B2/en,https://patentimages.storage.googleapis.com/5d/fe/18/089e4d631331b6/US10163100-20181225-D00000.png
US-2018308105-A1,Loyalty Program Parameter Collaboration ,Visa International Service Association,"Edward W. Fordyce, III, Karteek Hasmukh Patel, Sarah Pankratz McCarthy, David Chauncey Shepard",2006-08-31,2018-07-02,2018-10-25,,https://patents.google.com/patent/US20180308105A1/en,https://patentimages.storage.googleapis.com/b3/cc/26/0512624def8ff4/US20180308105A1-20181025-D00000.png
US-9818112-B2,Method and system for payment authorization and card presentation using pre-issued identities ,Visa International Service Association,"Kiushan Pirzadeh, Simon Hurry, Thomas Manessis",2007-05-18,2014-03-25,2017-11-14,2017-11-14,https://patents.google.com/patent/US9818112B2/en,https://patentimages.storage.googleapis.com/13/a8/ce/a2e64a3304f048/US09818112-20171114-D00000.png
US-2019354957-A1,Mobile payment management ,Visa U.S.A. Inc.,"David Wentker, Erick Wong, Doug Diebert, Gavin Shenker",2007-01-09,2019-07-30,2019-11-21,,https://patents.google.com/patent/US20190354957A1/en,https://patentimages.storage.googleapis.com/6a/ba/83/bd8a29d4c15980/US20190354957A1-20191121-D00000.png
US-2017293907-A1,Point of Interaction Loyalty Currency Redemption in a Transaction ,Visa U.S.A. Inc.,"Diane C. Salmon, Meara Day Dey, Leigh Amaro",2009-02-13,2017-06-23,2017-10-12,,https://patents.google.com/patent/US20170293907A1/en,https://patentimages.storage.googleapis.com/f0/0f/d8/e2ca08c4775c07/US20170293907A1-20171012-D00000.png
AU-2006312065-B2,Method and system for conducting promotional programs ,"Visa International Service Association, Visa U.S.A. Inc.",Barbara Patterson,2005-11-02,2006-10-25,2012-02-16,2012-02-16,https://patents.google.com/patent/AU2006312065B2/en,
US-2017193441-A1,Collaborative System and Method of Computers to Establish a Set of Parameters to Control Message Communications during an Authorization Phase ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Sarah Pankratz Suarez",2007-03-15,2017-03-23,2017-07-06,,https://patents.google.com/patent/US20170193441A1/en,https://patentimages.storage.googleapis.com/e3/8b/96/9aa47070250991/US20170193441A1-20170706-D00000.png
US-8636205-B2,Method and system for generating a dynamic verification value ,"Visa U.S.A. Inc., Visa International Service Association","Ayman Hammad, Patrick Faith, Christian Aabye, Jagdeep Singh Sahota",2003-08-18,2013-02-08,2014-01-28,2014-01-28,https://patents.google.com/patent/US8636205B2/en,https://patentimages.storage.googleapis.com/af/8c/f6/f498e7bad0af37/US08636205-20140128-D00000.png
US-8215563-B2,Method and system for facilitating memory and application management on a secured token ,"Visa International Service Association, Visa U.S.A., Inc.","Philippe Levy, Ayman Hammad, Virginia I. Simcox, Jerry Sloan, Mary Gorden",2001-12-04,2010-12-14,2012-07-10,2012-07-10,https://patents.google.com/patent/US8215563B2/en,https://patentimages.storage.googleapis.com/d5/dc/8b/0ba31006f2e0e1/US08215563-20120710-D00000.png
US-8903734-B2,Coupon offers from multiple entities ,Visa U.S.A. Inc.,Mark Carlson,2006-12-26,2013-11-14,2014-12-02,2014-12-02,https://patents.google.com/patent/US8903734B2/en,https://patentimages.storage.googleapis.com/25/23/2f/6f90e37a58010d/US08903734-20141202-D00000.png
AU-2010206118-B2,Method and system for management of electronic receipts on portable devices ,"Visa International Service Association, Visa U.S.A. Inc.","Patrick Gauthier, Julie Lins, Nicholas Shiftan",2003-05-02,2010-08-04,2012-07-05,2012-07-05,https://patents.google.com/patent/AU2010206118B2/en,
US-10650371-B2,System and method for enabling a mobile communication device to operate as a financial presentation device ,Visa U.S.A. Inc.,Ayman Hammad,2009-10-27,2019-07-24,2020-05-12,2020-05-12,https://patents.google.com/patent/US10650371B2/en,https://patentimages.storage.googleapis.com/b9/c9/65/bf94b91b5dd0ad/US10650371-20200512-D00000.png
AU-2006302198-B2,Method and system using bill payment reminders ,"Visa International Service Association, Visa U.S.A. Inc.","Christopher P. Aguas, Peter Ciurera, Peter A. Mendiara",2005-10-07,2006-10-06,2012-04-05,2012-04-05,https://patents.google.com/patent/AU2006302198B2/en,
US-9799078-B2,Systems and methods to enhance search data with transaction based data ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2014-05-02,2017-10-24,2017-10-24,https://patents.google.com/patent/US9799078B2/en,https://patentimages.storage.googleapis.com/79/2a/d3/4f812c1f4daa00/US09799078-20171024-D00000.png
US-8639846-B2,Adaptive gateway for switching transactions and data on unreliable networks using context-based rules ,Visa U.S.A. Inc.,"Thakur Singh, Sara K. Garrison, Mark Carlson, Rosauro E. Manansala, Kamlakar Singh",2005-06-29,2010-06-24,2014-01-28,2014-01-28,https://patents.google.com/patent/US8639846B2/en,https://patentimages.storage.googleapis.com/7d/40/6b/d4fa7a3ba80c41/US08639846-20140128-D00000.png
US-8583173-B2,Credit card imaging for mobile payment and other applications ,Visa U.S.A. Inc.,Timothy W. Markison,2008-08-23,2011-12-16,2013-11-12,2013-11-12,https://patents.google.com/patent/US8583173B2/en,https://patentimages.storage.googleapis.com/89/2a/b1/80b3d8497465a8/US08583173-20131112-D00000.png
US-11605074-B2,System and method for secured account numbers in proximily devices ,Visa U.S.A. Inc.,"Patrick Gauthier, Brian Maw, Patrick Faith, Barbara Patterson",2005-09-06,2021-01-11,2023-03-14,2023-03-14,https://patents.google.com/patent/US11605074B2/en,https://patentimages.storage.googleapis.com/a9/7b/fb/9daf0553126906/US11605074-20230314-D00000.png
US-9727858-B2,Configurable payment tokens ,Visa U.S.A. Inc.,"Lisa Anderson, Seamus Cushley, Fergal Downey",2012-07-26,2015-12-17,2017-08-08,2017-08-08,https://patents.google.com/patent/US9727858B2/en,https://patentimages.storage.googleapis.com/a8/f3/df/11e603643fd0e5/US09727858-20170808-D00000.png
US-2019213606-A1,Expiring virtual gift card statement credit exchange for loyalty reward ,Visa U.S.A. Inc.,"Nancy Kim, Diane C. Salmon",2010-04-29,2019-03-18,2019-07-11,,https://patents.google.com/patent/US20190213606A1/en,https://patentimages.storage.googleapis.com/fb/5c/df/c9b2924aa60833/US20190213606A1-20190711-D00000.png
US-2019287104-A1,Adaptive authentication options ,Visa U.S.A. Inc.,"Kim Steele, Mike Yakel, Kevin Weller, Patrick Faith, Lori D. Van Deloo",2006-11-16,2019-06-03,2019-09-19,,https://patents.google.com/patent/US20190287104A1/en,https://patentimages.storage.googleapis.com/84/da/e9/811e502ace7598/US20190287104A1-20190919-D00000.png
US-9909879-B2,Successive offer communications with an offer recipient ,Visa U.S.A. Inc.,"James Alan VonDerheide, Rajasekaran Dhamodharan",2009-07-27,2012-03-22,2018-03-06,2018-03-06,https://patents.google.com/patent/US9909879B2/en,https://patentimages.storage.googleapis.com/09/2f/2a/618e6ad8f45a27/US09909879-20180306-D00000.png
US-8442909-B2,Transaction processing entity device support of an integrated offer network ,Visa U.S.A. Inc.,Howard Scott Debow,2008-08-24,2012-04-03,2013-05-14,2013-05-14,https://patents.google.com/patent/US8442909B2/en,https://patentimages.storage.googleapis.com/dc/77/db/cc6db2bb28491b/US08442909-20130514-D00000.png
US-8156543-B2,Method and system for authenticating a party to a transaction ,Visa U.S.A.,"David Wentker, Michael Lindelsee, Olivier Brand, James Dimmick, Tribhuwan A. Singh Grewal",2007-04-17,2008-04-16,2012-04-10,2012-04-10,https://patents.google.com/patent/US8156543B2/en,https://patentimages.storage.googleapis.com/38/f1/8c/3e661e87e36f6a/US08156543-20120410-D00000.png
US-8407148-B2,Systems and methods to provide messages in real-time with transaction processing ,Visa U.S.A. Inc.,"Jeanette Yoder, Leigh Amaro, Ryan Hagey, Derek A. Vroom, Michael Steven Bankston",2010-06-04,2011-10-19,2013-03-26,2013-03-26,https://patents.google.com/patent/US8407148B2/en,https://patentimages.storage.googleapis.com/2b/e8/5a/214cce56445734/US08407148-20130326-D00000.png
US-8442867-B2,Providing an announcement about transactions of a target merchant to a consumer ,Visa U.S.A. Inc.,"Mark Carlson, May M. Mowzoon",2009-04-22,2011-03-23,2013-05-14,2013-05-14,https://patents.google.com/patent/US8442867B2/en,https://patentimages.storage.googleapis.com/1a/df/3f/79afbdd4fa29ad/US08442867-20130514-D00000.png
US-8666865-B2,Payment entity account set up for multiple payment methods ,Visa U.S.A. Inc.,"Matthew James Mullen, John Nicholas Marchetti",2007-10-30,2012-09-26,2014-03-04,2014-03-04,https://patents.google.com/patent/US8666865B2/en,https://patentimages.storage.googleapis.com/e2/f1/40/d20f725f2baf59/US08666865-20140304-D00000.png
US-10789607-B2,Multi-vendor multi-loyalty currency program ,Visa U.S.A. Inc.,"Edward W. Fordyce, III",2007-07-23,2018-11-14,2020-09-29,2020-09-29,https://patents.google.com/patent/US10789607B2/en,https://patentimages.storage.googleapis.com/66/b3/fc/4c5f206b1c04fb/US10789607-20200929-D00000.png
US-8521645-B2,Method and system for facilitating switching of financial institution accounts ,Visa U.S.A. Inc.,"Tolan Doak Steele, Fran Schall, Kim Randall",2003-04-29,2010-12-08,2013-08-27,2013-08-27,https://patents.google.com/patent/US8521645B2/en,https://patentimages.storage.googleapis.com/17/6e/8d/b8bd770756b63d/US08521645-20130827-D00000.png
US-8827156-B2,Mobile payment device ,Visa U.S.A. Inc.,"Ayman Hammad, Phil Dixon",2006-09-28,2013-07-10,2014-09-09,2014-09-09,https://patents.google.com/patent/US8827156B2/en,https://patentimages.storage.googleapis.com/9a/9c/b0/35c0eefe26c8bc/US08827156-20140909-D00000.png
US-10580005-B2,Method and system for providing risk information in connection with transaction processing ,Visa U.S.A. Inc.,"Belva J. Bruesewitz, Nancy Hilgers, Patrick L. Faith, Kevin Paul Siegel, Xiaoli Li, Krishna Prasad Koganti, Craig O'Connell",2003-07-01,2015-04-21,2020-03-03,2020-03-03,https://patents.google.com/patent/US10580005B2/en,https://patentimages.storage.googleapis.com/62/41/e3/8f9e78ced7dc1f/US10580005-20200303-D00000.png
US-8560417-B2,Payment entity for account payables processing using multiple payment methods ,Visa U.S.A. Inc.,"Matthew James Mullen, John Nicholas Marchetti",2007-10-30,2012-09-26,2013-10-15,2013-10-15,https://patents.google.com/patent/US8560417B2/en,https://patentimages.storage.googleapis.com/5a/4e/c3/a9c51ceb909946/US08560417-20131015-D00000.png
US-8688581-B2,Product level payment network acquired transaction authorization ,Visa U.S.A. Inc.,"Loc Nguyen, Stacy Pourfallah, Janet Pruitt",2005-01-04,2013-09-04,2014-04-01,2014-04-01,https://patents.google.com/patent/US8688581B2/en,https://patentimages.storage.googleapis.com/49/cc/5b/b151e38ee24467/US08688581-20140401-D00000.png
US-8751347-B2,Payment entity device transaction processing using multiple payment methods ,Visa U.S.A. Inc.,"Matthew James Mullen, John Nicholas Marchetti",2007-10-30,2013-01-09,2014-06-10,2014-06-10,https://patents.google.com/patent/US8751347B2/en,https://patentimages.storage.googleapis.com/ca/7f/28/f6f66af88d737e/US08751347-20140610-D00000.png
US-2021035087-A1,Powering financial transaction token with onboard power source ,Visa U.S.A. Inc.,"Patrick L. Faith, Ayman A. Hammad",2008-03-20,2020-10-19,2021-02-04,,https://patents.google.com/patent/US20210035087A1/en,https://patentimages.storage.googleapis.com/c6/bb/3b/1d983bae5a1b99/US20210035087A1-20210204-D00000.png
US-9727863-B2,Real time account update ,Visa U.S.A. Inc.,Laura DiGioacchino,2007-05-30,2011-03-04,2017-08-08,2017-08-08,https://patents.google.com/patent/US9727863B2/en,https://patentimages.storage.googleapis.com/80/41/9f/11c5261200d2fa/US09727863-20170808-D00000.png
AU-2010202005-B2,Managing activation of cardholders in a secure authentication program ,"Visa International Service Association, Visa U.S.A. Inc.",Steve Davis,2003-07-02,2010-05-18,2012-07-12,2012-07-12,https://patents.google.com/patent/AU2010202005B2/en,
US-8407141-B2,System and method for processing multiple methods of payment ,Visa U.S.A. Inc.,"Matthew James Mullen, Mark Rockelman",2007-10-30,2007-10-30,2013-03-26,2013-03-26,https://patents.google.com/patent/US8407141B2/en,https://patentimages.storage.googleapis.com/88/66/65/0c87c51d74517a/US08407141-20130326-D00000.png
US-9031859-B2,Rebate automation ,Visa U.S.A. Inc.,"Diane C. Salmon, James Alan VonDerheide, Edward W. Fordyce, III, David Chauncey Shepard, Gregory Michael Adams, Laura DiGioacchino",2009-05-21,2010-05-20,2015-05-12,2015-05-12,https://patents.google.com/patent/US9031859B2/en,https://patentimages.storage.googleapis.com/b3/ae/da/25d086c8db2f23/US09031859-20150512-D00000.png
US-10083434-B2,Wireless payment method and systems ,Visa U.S.A. Inc.,"Joan Myers, Sara Garrison, Mark Carlson",2005-01-21,2015-04-14,2018-09-25,2018-09-25,https://patents.google.com/patent/US10083434B2/en,https://patentimages.storage.googleapis.com/dd/da/3e/6c1c1210ad4836/US10083434-20180925-D00000.png
US-9940621-B2,Method and system using candidate dynamic data elements ,Visa U.S.A. Inc.,"Patrick Faith, Ayman Hammad",2006-11-16,2013-06-17,2018-04-10,2018-04-10,https://patents.google.com/patent/US9940621B2/en,https://patentimages.storage.googleapis.com/32/8a/36/74d063109d1d2d/US09940621-20180410-D00000.png
US-9373115-B2,Contactless prepaid product for transit fare collection ,Visa U.S.A. Inc.,"Philip B Dixon, Ayman Hammad, Khalid El-Awady",2006-09-28,2014-04-09,2016-06-21,2016-06-21,https://patents.google.com/patent/US9373115B2/en,https://patentimages.storage.googleapis.com/30/09/db/be30ebe9efc9de/US09373115-20160621-D00000.png
US-8078536-B2,Method and system for cross-issuer registration of transaction cards ,Visa U.S.A. Inc.,John F. Sheets,2006-09-15,2010-12-30,2011-12-13,2011-12-13,https://patents.google.com/patent/US8078536B2/en,https://patentimages.storage.googleapis.com/e0/86/71/1a7ed5d01b8c21/US08078536-20111213-D00000.png
US-8700513-B2,Authentication of a data card using a transit verification value ,Visa U.S.A. Inc.,"Ayman Hammad, Philip B. Dixon",2007-02-28,2012-11-30,2014-04-15,2014-04-15,https://patents.google.com/patent/US8700513B2/en,https://patentimages.storage.googleapis.com/82/e8/6c/6dce1b864fbe9a/US08700513-20140415-D00000.png
US-9183555-B2,Transaction processing using a global unique identifier ,Visa U.S.A. Inc.,Barbara Elizabeth Patterson,2008-07-29,2013-09-06,2015-11-10,2015-11-10,https://patents.google.com/patent/US9183555B2/en,https://patentimages.storage.googleapis.com/44/85/ca/a1a762e2891779/US09183555-20151110-D00000.png
US-8646684-B2,Compact protocol and solution for substantially offline messaging between portable consumer device and base device ,Visa U.S.A. Inc.,"Patrick Gauthier, Ayman Hammad, Roger Merckling",2002-09-13,2011-08-02,2014-02-11,2014-02-11,https://patents.google.com/patent/US8646684B2/en,https://patentimages.storage.googleapis.com/92/45/cb/1de58607937f9e/US08646684-20140211-D00000.png
US-10089630-B2,Systems and methods to provide offers to travelers ,Visa U.S.A. Inc.,Andrew Clyne,2010-04-23,2016-08-31,2018-10-02,2018-10-02,https://patents.google.com/patent/US10089630B2/en,https://patentimages.storage.googleapis.com/b5/de/cb/bb47d3dc69f9c0/US10089630-20181002-D00000.png
US-8452257-B2,Real-time balance on a mobile phone ,"Visa U.S.A., Inc","Nicole Janine Granucci, Carrie Elaine Vriheas, Ayman Hammad",2007-09-26,2012-03-23,2013-05-28,2013-05-28,https://patents.google.com/patent/US8452257B2/en,https://patentimages.storage.googleapis.com/0d/e6/84/cc956ed8a548df/US08452257-20130528-D00000.png
US-10540659-B2,System for personal authorization control for card transactions ,Visa U.S.A. Inc.,"Lynn Kemper, Akshey Shawn Vij, Robin O'Connell",2002-03-05,2019-01-11,2020-01-21,2020-01-21,https://patents.google.com/patent/US10540659B2/en,https://patentimages.storage.googleapis.com/c3/60/78/c8875ddac90d18/US10540659-20200121-D00000.png
US-10210492-B2,Beverage holder having a chip unit for performing payment transactions ,Visa U.S.A. Inc.,"Zack Fuerstenberg, Ayman Hammad, Brian Triplett, Christopher M. Renton, Michael Stephenson",2008-10-30,2016-09-15,2019-02-19,2019-02-19,https://patents.google.com/patent/US10210492B2/en,https://patentimages.storage.googleapis.com/e8/15/55/b65ab7de3dd8c8/US10210492-20190219-D00000.png
US-8417543-B2,Electronic payment delivery service ,Visa U.S.A. Inc.,"Edward Yanak, Joseph Vause, Joseph Kaberlein, Karen Cervenka",2006-07-31,2010-06-17,2013-04-09,2013-04-09,https://patents.google.com/patent/US8417543B2/en,https://patentimages.storage.googleapis.com/86/46/89/3b2c4d95bf4b77/US08417543-20130409-D00000.png
US-8745166-B2,Gateway service platform ,Visa U.S.A. Inc.,"Patrick Faith, Mark Carlson, Krishna Prasad Koganti",2008-05-28,2009-05-28,2014-06-03,2014-06-03,https://patents.google.com/patent/US8745166B2/en,https://patentimages.storage.googleapis.com/fb/98/39/446a3ffa48d54a/US08745166-20140603-D00000.png
US-8620738-B2,Loyalty program incentive determination ,Visa U.S.A. Inc,"Edward W. Fordyce, III, Karteek Hasmukh Patel, David Chauncey Shepard",2006-08-31,2007-08-30,2013-12-31,2013-12-31,https://patents.google.com/patent/US8620738B2/en,https://patentimages.storage.googleapis.com/75/cb/a0/074aaf284af286/US08620738-20131231-D00000.png
US-7958030-B2,System and method for issuer originated payments for on-line banking bill payments ,Visa U.S.A. Inc.,"Lynn Kemper, Barbara Patterson, Kimberly Lawrence",2004-09-01,2005-08-31,2011-06-07,2011-06-07,https://patents.google.com/patent/US7958030B2/en,https://patentimages.storage.googleapis.com/69/8d/62/ff594740eb4941/US07958030-20110607-D00000.png
US-8244648-B2,Method and system for providing a distributed adaptive rules based dynamic pricing system ,Visa U.S.A. Inc.,"Loc Nguyen, Ayman Hammad, Patrick Gauthier",2003-09-30,2011-07-18,2012-08-14,2012-08-14,https://patents.google.com/patent/US8244648B2/en,https://patentimages.storage.googleapis.com/d3/d9/fd/867d0a0c825b5f/US08244648-20120814-D00000.png
US-8141777-B2,Method and system using wildcard values ,Visa U.S.A. Inc.,"Corinne Bortolin, Loc Duc Nguyen, Liane Redford",2003-09-03,2011-02-01,2012-03-27,2012-03-27,https://patents.google.com/patent/US8141777B2/en,https://patentimages.storage.googleapis.com/7f/42/53/5bf8571b748691/US08141777-20120327-D00000.png
US-8626579-B2,Systems and methods for closing the loop between online activities and offline purchases ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Michelle Eng Winters, Kevin Paul Siegel, Leigh Amaro, Charles Raymond Byce, Nurtekin Savas, Peter Ciurea, James Alan VonDerheide, Diane C. Salmon",2009-08-04,2011-08-30,2014-01-07,2014-01-07,https://patents.google.com/patent/US8626579B2/en,https://patentimages.storage.googleapis.com/30/b1/78/5d19d7a4082abf/US08626579-20140107-D00000.png
US-8788382-B2,Systems and methods for automatic migration of a consumer between financial accounts ,Visa U.S.A. Inc.,Justin T. Monk,2007-06-04,2010-11-19,2014-07-22,2014-07-22,https://patents.google.com/patent/US8788382B2/en,https://patentimages.storage.googleapis.com/0f/c0/56/85b888f8d71ced/US08788382-20140722-D00000.png
AU-2011227095-B2,Systems and methods to identify differences in spending patterns ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2011-03-18,2015-02-05,2015-02-05,https://patents.google.com/patent/AU2011227095B2/en,
US-8712892-B2,Verification of a portable consumer device in an offline environment ,Visa U.S.A. Inc.,"Philip B. Dixon, Ayman Hammad, Khalid El-Awady",2007-02-28,2013-01-24,2014-04-29,2014-04-29,https://patents.google.com/patent/US8712892B2/en,https://patentimages.storage.googleapis.com/b1/4c/43/de755203d5f3c3/US08712892-20140429-D00000.png
US-8924299-B2,Method and system for facilitating payment transactions using access devices ,Visa U.S.A. Inc.,"Jean Huang, Eric Redmond, Pete Heisinger",2002-08-27,2012-06-19,2014-12-30,2014-12-30,https://patents.google.com/patent/US8924299B2/en,https://patentimages.storage.googleapis.com/dd/b5/33/5b732c46741f84/US08924299-20141230-D00000.png
US-8744906-B2,Systems and methods for targeted advertisement delivery ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Michelle Eng Winters, Kevin Paul Siegel, Leigh Amaro, Charles Raymond Byce, Nurtekin Savas, James Alan VonDerheide, Diane C. Salmon",2009-08-04,2011-08-30,2014-06-03,2014-06-03,https://patents.google.com/patent/US8744906B2/en,https://patentimages.storage.googleapis.com/38/fe/e3/3e6386ad671474/US08744906-20140603-D00000.png
US-8746556-B2,Open system account remote validation for access ,Visa U.S.A. Inc.,"Phil Dixon, Ayman Hammad, Khalid El-Awady",2007-01-30,2013-04-29,2014-06-10,2014-06-10,https://patents.google.com/patent/US8746556B2/en,https://patentimages.storage.googleapis.com/a9/ad/3d/4adc80ec0ee640/US08746556-20140610-D00000.png
AU-2011227094-B2,Systems and methods to perform checkout funnel analyses ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2011-03-18,2015-04-02,2015-04-02,https://patents.google.com/patent/AU2011227094B2/en,
